"name","avg_salary","eFG","PER","tot_games","draft_round"
"Travis Diener",1.1845942,"49.5","12.5",179,2
"Gorgui Dieng",4.1403406,"51.7","16.1",452,1
"Ike Diogu",1.55460342857143,"51.0","15.6",225,1
"Juan Dixon",1.86782633333333,"46.1","12.8",436,1
"Michael Doleac",2.516,"43.9","10.8",587,1
"Keyon Dooling",2.5508071,"46.7","11.5",728,1
"Joey Dorsey",0.9030946,"53.4","12.1",130,2
"Toney Douglas",1.05757222222222,"48.6","13.2",394,1
"Chris Douglas-Roberts",0.604187,"47.1","11.5",222,2
"Andre Drummond",9.42523783333333,"54.4","22.1",542,1
"Jared Dudley",4.32163890909091,"54.9","12.7",847,1
"Chris Duhon",3.3074077,"48.8","10.8",606,2
"Tim Duncan",13.375655,"50.7","24.2",1392,1
"Mike Dunleavy",5.42753973333333,"51.4","13.9",986,1
"Kevin Durant",14.5644561818182,"54.2","25.2",849,1
"Howard Eisley",3.0392195,"46.3","11.5",786,2
"Wayne Ellington",2.13132883333333,"51.3","11.2",645,1
"Francisco Elson",1.39538655555556,"47.9","10.0",472,2
"Melvin Ely",1.74184357142857,"46.0","10.6",375,1
"James Ennis",1.4706738,"53.6","11.5",278,2
"Jeremy Evans",1.118352,"57.3","17.3",250,2
"Tyreke Evans",7.015139,"47.1","17.1",594,1
"Kenneth Faried",6.065269,"54.8","19.7",478,1
"Jordan Farmar",1.43893369230769,"50.7","13.3",504,1
"Derrick Favors",8.39435275,"52.8","18.9",632,1
"Raymond Felton",3.98285576923077,"45.9","13.8",971,1
"Landry Fields",3.9971598,"51.5","12.1",255,2
"Michael Finley",9.2230874,"49.2","16.0",1103,1
"Derek Fisher",3.74983515384615,"46.6","11.7",1287,1
"T.J. Ford",4.83714711111111,"44.8","15.1",429,1
"Jeff Foster",5.08138888888889,"49.8","14.2",764,1
"Randy Foye",3.12512736363636,"48.2","12.0",752,1
"Adonal Foyle",5.09592444444444,"47.7","12.3",733,1
"Steve Francis",11.17206875,"46.3","18.3",576,1
"Jimmer Fredette",1.23640814285714,"48.4","12.5",241,1
"Channing Frye",5.11921746153846,"51.9","13.3",890,1
"Dan Gadzuric",4.6574625,"50.0","14.4",527,2
"Francisco Garcia",3.104404,"50.7","12.3",549,1
"Pat Garrity",3.23125,"50.6","10.7",552,1
"Rudy Gay",10.5799140833333,"49.1","16.8",879,1
"Devean George",3.09085285714286,"45.6","10.6",630,1
"Paul George",10.171249875,"50.9","19.2",604,1
"Daniel Gibson",3.15716771428571,"51.2","10.8",397,2
"Taj Gibson",5.83433011111111,"51.4","15.5",737,1
"Ryan Gomes",2.50750444444444,"48.4","12.5",487,2
"Drew Gooden",5.01046553846154,"46.8","16.3",790,1
"Archie Goodwin",0.953503833333333,"45.5","11.6",165,1
"Ben Gordon",7.69245627272727,"49.7","14.9",744,1
"Eric Gordon",9.5984891,"51.5","14.5",629,1
"Joey Graham",1.46736416666667,"49.8","11.0",377,1
"Danny Granger",6.43916272727273,"50.0","16.9",586,1
"Brian Grant",9.69287533333333,"49.1","14.9",756,1
"Aaron Gray",1.3065995,"50.9","11.5",318,2
"Danny Green",4.74373677777778,"54.9","13.2",620,2
"Draymond Green",8.111863,"50.0","15.3",533,2
"Jeff Green",6.7430743,"48.8","13.3",860,1
"Willie Green",2.13393145454545,"47.1","11.0",731,2
"Blake Griffin",14.0212563333333,"52.1","22.2",604,1
"Eddie Griffin",2.2215612,"43.0","14.3",303,1
"Jordan Hamilton",0.7334038,"48.9","13.4",151,1
"Richard Hamilton",7.76121792307692,"46.9","16.5",921,1
"Tyler Hansbrough",2.39229685714286,"44.0","14.8",428,1
"Tim Hardaway Jr.",4.506705,"50.2","13.5",403,1
"James Harden",13.0899875555556,"52.5","24.4",765,1
"Maurice Harkless",4.57923083333333,"52.5","12.5",475,1
"Matt Harpring",5.57142857142857,"49.4","15.3",665,1
"Othella Harrington",2.8302,"50.5","12.5",709,2
"Devin Harris",5.26223342857143,"48.3","16.0",985,1
"Tobias Harris",8.00986771428571,"52.1","16.7",546,1
