"name","avg_salary","eFG","PER","tot_games","draft_round"
"Danny Ferry",3.30808333333333,"50.6","11.8",917,1
"Michael Finley",4.91326285714286,"49.2","16.0",1103,1
"Derek Fisher",1.91503333333333,"46.6","11.7",1287,1
"Vern Fleming",1.04492857142857,"50.1","15.1",893,1
"Sleepy Floyd",1.03928571428571,"47.0","15.5",957,1
"Danny Fortson",2.6109548,"47.2","16.2",440,1
"Greg Foster",0.652846769230769,"44.4","8.9",656,2
"Rick Fox",1.83220454545455,"50.1","13.6",930,1
"Adonal Foyle",2.619704,"47.7","12.3",733,1
"Todd Fuller",0.995048,"42.2","10.3",225,1
"Winston Garland",0.317143333333333,"43.8","12.5",511,2
"Chris Gatling",2.68171154545455,"51.7","17.6",700,1
"Matt Geiger",3.563552,"50.1","15.2",552,2
"Tate George",0.414652,"41.5","10.7",177,1
"Kendall Gill",3.37116666666667,"44.8","14.7",966,1
"Armen Gilliam",1.83773846153846,"48.9","16.4",929,1
"Mike Gminski",1.44857142857143,"46.5","16.3",938,1
"Greg Graham",1.12,"43.7","10.6",207,1
"Brian Grant",5.08211725,"49.1","14.9",756,1
"Gary Grant",0.783151461538461,"46.2","13.4",552,1
"Harvey Grant",2.08435227272727,"47.3","12.7",783,1
"Horace Grant",4.901975,"50.9","16.0",1165,1
"Jeff Grayer",0.644,"46.3","12.0",438,1
"A.C. Green",3.14390584615385,"50.1","14.4",1278,1
"Sidney Green",1.095,"45.5","12.1",679,1
"Tom Gugliotta",5.5332535,"46.3","15.9",763,1
"Tom Hammonds",1.065,"48.0","11.0",687,1
"Anfernee Hardaway",7.09988888888889,"48.6","17.4",704,1
"Tim Hardaway",3.80511583333333,"49.0","18.6",867,1
"Derek Harper",1.62679090909091,"50.3","16.0",1199,1
"Ron Harper",2.77004166666667,"46.8","15.6",1009,1
"Othella Harrington",1.46484,"50.5","12.5",709,2
"Lucious Harris",1.37,"46.5","12.8",800,2
"Hersey Hawkins",2.35009230769231,"51.8","16.3",983,1
"Alan Henderson",3.59759271428571,"46.9","14.5",652,1
"Cedric Henderson",1.72,"43.7","9.2",260,2
"Carl Herrera",1.20972222222222,"47.6","10.5",465,2
"Rod Higgins",0.31316,"49.8","13.5",779,2
"Sean Higgins",0.33445,"46.4","9.5",220,2
"Grant Hill",6.47678125,"49.2","19.0",1026,1
"Tyrone Hill",3.68203333333333,"50.2","14.0",801,1
"Roy Hinson",1.10292857142857,"49.9","14.7",507,1
"Donald Hodge",0.766,"43.9","10.5",249,2
"Fred Hoiberg",0.6762,"51.4","13.7",541,2
"Jeff Hornacek",2.35167272727273,"53.0","17.7",1077,2
"Robert Horry",3.29,"48.4","13.4",1107,1
"Allan Houston",5.62433333333333,"49.8","14.9",839,1
"Juwan Howard",10.970125,"46.9","14.6",1208,1
"Jay Humphries",1.22,"49.1","13.9",788,1
"Lindsey Hunter",1.93997333333333,"45.8","12.1",937,1
"Bobby Hurley",2.825,"38.4","8.1",269,1
"Allen Iverson",6.55210666666667,"45.2","20.9",914,1
"Bobby Jackson",1.424496,"47.0","15.2",755,1
"Jim Jackson",2.57713,"46.7","13.5",885,1
"Mark Jackson",2.445,"48.1","16.0",1296,1
"Buck Johnson",0.587,"48.8","11.9",505,1
"Eddie Johnson",0.88017,"48.9","15.9",1199,2
"Ervin Johnson",1.99263177777778,"50.6","12.2",845,1
"Kevin Johnson",3.1172,"50.1","20.7",735,1
"Larry Johnson",6.68383109090909,"50.5","16.3",707,1
"Magic Johnson",2.69047666666667,"53.3","24.1",906,1
"Vinnie Johnson",0.7646,"46.8","15.2",984,1
"Eddie Jones",3.80640625,"50.5","16.7",954,1
"Popeye Jones",1.68458755555556,"45.0","13.3",535,2
"Michael Jordan",8.20272727272727,"50.9","27.9",1072,1
"Adam Keefe",2.07111111111111,"50.2","12.9",617,1
"Shawn Kemp",5.24833333333333,"49.0","19.1",1051,1
"Steve Kerr",1.01307692307692,"56.4","13.1",910,2
"Jerome Kersey",1.230625,"46.7","14.9",1153,2
"Alec Kessler",1.1616,"43.1","9.6",210,1
"Jason Kidd",5.627121,"46.4","17.9",1391,1
"Bo Kimble",1.11,"40.8","8.1",105,1
"Bernard King",1.845,"51.9","19.2",874,1
